广东联通银河,#genre#
河北卫视,http://43.138.11.122/cq/yh.php?id=G_HEBEI-CQ
河南卫视,http://43.138.11.122/cq/yh.php?id=G_HENAN-CQ
湖北卫视,http://43.138.11.122/cq/yh.php?id=G_HUBEI-CQ
吉林卫视,http://43.138.11.122/cq/yh.php?id=G_JILIN-CQ
江西卫视,http://43.138.11.122/cq/yh.php?id=G_JIANGXI-CQ
康巴卫视,http://43.138.11.122/cq/yh.php?id=G_KANGBA
安多卫视,http://43.138.11.122/cq/yh.php?id=G_ANDUO
兵团卫视,http://43.138.11.122/cq/yh.php?id=G_BINGTUAN
内蒙古卫视,http://43.138.11.122/cq/yh.php?id=G_NEIMENGGU
宁夏卫视,http://43.138.11.122/cq/yh.php?id=G_NINGXIA
农林卫视,http://43.138.11.122/cq/yh.php?id=G_NONGLIN
三沙卫视,http://43.138.11.122/cq/yh.php?id=G_SANSHA-HQ
陕西卫视,http://43.138.11.122/cq/yh.php?id=G_SHANXI-HQ
四川卫视,http://43.138.11.122/cq/yh.php?id=G_SICHUAN-CQ
西藏卫视,http://43.138.11.122/cq/yh.php?id=G_XIZANG
新疆卫视,http://43.138.11.122/cq/yh.php?id=G_XINJIANG
延边卫视,http://43.138.11.122/cq/yh.php?id=G_YANBIAN
云南卫视,http://43.138.11.122/cq/yh.php?id=G_YUNNAN-CQ
重庆卫视,http://43.138.11.122/cq/yh.php?id=G_CHONGQING-CQ
青海卫视,http://43.138.11.122/cq/yh.php?id=G_QINGHAI
厦门卫视,http://43.138.11.122/cq/yh.php?id=G_XIAMEN
家庭理财,http://43.138.11.122/cq/yh.php?id=G_JIATINGLC
金鹰卡通,http://43.138.11.122/cq/yh.php?id=G_JINYING
卡酷少儿,http://43.138.11.122/cq/yh.php?id=G_KAKU
炫动卡通,http://43.138.11.122/cq/yh.php?id=G_XUANDONG
优漫卡通,http://43.138.11.122/cq/yh.php?id=G_YOUMAN
嘉佳卡通,http://43.138.11.122/cq/yh.php?id=G_JIAJIA
早期教育,http://43.138.11.122/cq/yh.php?id=G_CETV-ZQJY-CQ
CETV-1,http://43.138.11.122/cq/yh.php?id=G_CETV-1-HQ
CETV-2,http://43.138.11.122/cq/yh.php?id=G_CETV-2
CETV-3,http://43.138.11.122/cq/yh.php?id=G_CETV-3
CETV-4,http://43.138.11.122/cq/yh.php?id=G_CETV-4
山东教育,http://43.138.11.122/cq/yh.php?id=G_SDETV
北京科教,http://43.138.11.122/cq/yh.php?id=G_BEIJINGJS-CQ
女性时尚,http://43.138.11.122/cq/yh.php?id=G_NVXINGSS-CQ
发现之旅,http://43.138.11.122/cq/yh.php?id=G_FAXIANZL
老故事,http://43.138.11.122/cq/yh.php?id=G_LAOGUSHI
中华美食,http://43.138.11.122/cq/yh.php?id=G_ZHONGHUAMS
天元围棋,http://43.138.11.122/cq/yh.php?id=G_TIANYUANWQ
上海人文记实,http://43.138.11.122/cq/yh.php?id=G_SHANGHAIJS-HD
国学,http://43.138.11.122/cq/yh.php?id=G_GUOXUE
徐闻综合,http://43.138.11.122/cq/yh.php?id=zanjiang01
梅州综合,http://43.138.11.122/cq/yh.php?id=meizhou1
客家生活,http://43.138.11.122/cq/yh.php?id=meizhou2
阳江1,http://43.138.11.122/cq/yh.php?id=yangjiang1
阳江2,http://43.138.11.122/cq/yh.php?id=yangjiang2
ZOO-101,http://43.138.11.122/cq/yh.php?id=G_ZOO-101
ZOO-201,http://43.138.11.122/cq/yh.php?id=G_ZOO-201
ZOO-301,http://43.138.11.122/cq/yh.php?id=G_ZOO-301
ZOO-401,http://43.138.11.122/cq/yh.php?id=G_ZOO-401
ZOO-501,http://43.138.11.122/cq/yh.php?id=G_ZOO-501
ZOO-601,http://43.138.11.122/cq/yh.php?id=G_ZOO-601
ZOO-102,http://43.138.11.122/cq/yh.php?id=G_ZOO-102
ZOO-801,http://43.138.11.122/cq/yh.php?id=G_ZOO-801
ZOO-901,http://43.138.11.122/cq/yh.php?id=G_ZOO-901
GUANGDONGGJ,http://43.138.11.122/cq/yh.php?id=G_GUANGDONGGJ
GUANGDONGDS,http://43.138.11.122/cq/yh.php?id=G_GUANGDONGDS
黑龙江回看IPV6,#genre#
CCTV-1,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

湖南卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
浙江卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
广东卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
江苏卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
东方卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
上海纪实,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
山东卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东教育卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
安徽卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
重庆卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
天津卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
湖北卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
黑龙江卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
四川卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
东南卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
海南卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
河北卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
云南卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
贵州卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
陕西卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
兵团卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8

CETV-1,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
都市,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
影视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
少儿,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
法制,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
咪咕体育,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
睛彩篮球,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
CGTN,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN纪录,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
江苏,#genre#
江苏城市,http://gxctcc-livod.ks-cdn.gitv.tv/gitv_live/G_JSCS/G_JSCS.m3u8
江苏影视,http://gxctcc-livod.ks-cdn.gitv.tv/gitv_live/G_JSYS/G_JSYS.m3u8
江苏综艺,http://gxctcc-livod.ks-cdn.gitv.tv/gitv_live/G_JSZY/G_JSZY.m3u8
江苏教育,http://gxctcc-livod.ks-cdn.gitv.tv/gitv_live/G_JSJY/G_JSJY.m3u8
江苏新闻,http://gxctcc-livod.ks-cdn.gitv.tv/gitv_live/G_JSGG/G_JSGG.m3u8
