//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//
永久免费💝公告,#genre#
香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8
无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线星河频道,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
无线娱乐频道,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8

香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港電台(34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
香港電台(34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经频道,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳门莲花频道,http://php.jdshipin.com:8880/amlh.php
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8

TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8


TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8

C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/01.m3u8

C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/02.m3u8

C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
凤凰卫视中文台,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰卫视资讯台,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰卫视中文台,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰卫视资讯台,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰卫视资讯台,http://113.64.145.195:8081/hls/36/index.m3u8
凤凰卫视中文台,http://113.64.145.195:8081/hls/37/index.m3u8
凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视资讯台,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰卫视中文台,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=0&hq
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=2
凤凰卫视资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视中文台,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视资讯台,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰卫视中文台,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰卫视资讯台,http://43.132.147.111:5532/youtube.php?id=hkfenghuangzixun&p=123456admin 
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=2&hq
TVB财经体育资讯台,http://mtw.so/5Vma8v
凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰中文频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文频道,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰中文频道,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰中文频道,http://118.114.96.20:8889/rtp/239.93.1.9:2192
凤凰中文频道,http://118.114.96.20:8889/udp/239.93.0.162:2192

凤凰资讯频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯频道,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯频道,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://118.114.96.20:8889/rtp/239.93.0.118:2191?
凤凰资讯频道,http://118.114.96.20:8889/udp/239.93.1.4:2191?

香港無綫新聞,http://208.110.73.234:8080/live/380/hls.m3u8
香港無綫新聞,http://123.202.245.120:8008/bysid/83
香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8
香港凤凰频道,http://103.95.24.37:880/fhxgt.m3u8
香港凤凰频道,http://123.202.245.120:8008/bysid/85
香港凤凰频道,http://113.88.66.196:8001/bysid/85
香港無綫新聞,http://113.88.66.196:8001/bysid/83
HOY 資訊频道,http://123.202.245.120:8009/bysid/78
國際財經频道,http://123.202.245.120:8009/bysid/76
HOY TV  频道,http://123.202.245.120:8009/bysid/77
香港翡翠频道,http://113.88.66.196:8000/bysid/1
香港明珠频道,http://123.202.245.120:8008/bysid/2
香港明珠频道,http://113.88.66.196:8001/bysid/2
香港TVB Plus,http://123.202.245.120:8008/bysid/82
香港TVB Plus,http://113.88.66.196:8001/bysid/82
港台電視  31,http://113.88.66.196:8002/bysid/31
港台電視  32,http://113.88.66.196:8002/bysid/32
中央電視台綜,http://113.88.66.196:8002/bysid/33
中國環球電視,http://113.88.66.196:8002/bysid/34
ViuTVsix频道,http://113.88.66.196:8000/bysid/96
ViuTV 香港台,http://113.88.66.196:8000/bysid/99
无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
欧洲华文频道,http://vvlive.eztv.vip/hwetnew/hwetnew.m3u8?auth_key=1710810771-0-0-c5ce71079eaa4d245127b05375ae371f
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视频道,http://118.114.96.20:8889/udp/239.93.0.156:2193
星空卫视频道,http://118.114.96.20:8889/udp/239.93.1.10:2193
无线娱乐频道,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经频道,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳门莲花频道,http://php.jdshipin.com:8880/amlh.php

凤凰卫视资讯台,http://livetv.skycf.eu.org/live.m3u8?c=2
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
金鹰卡通http://180.143.83.235:8181/tsfile/live/1003_1.m3u8?key=txiptv
星空卫视http://180.143.83.235:8181/tsfile/live/1004_1.m3u8?key=txiptv
香港全景,http://61.221.215.25:8800/hls/49/index.m3u8
TVB功夫,https://s2.pub/CCTV-20 
经典功夫台,http://data.3g.yy.com/live/hls/1355002394/1355002394
经典TVB功夫,https://ali.hlspull.yximgs.com/live/12344.flv
TVB功夫(国),http://ali.hlspull.yximgs.com/live/gongfuguoyut3a88221300-dhoadhlabhkkl.flv
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
RTHK34,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
欢乐新闻,https://s2.pub/CCTV-19
点掌财经,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港電台(RTHK 34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港電台(RTHK 34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经,https://epg.pw/stream/72e6d938d023bbb1ad2c783c86273475d217a32541d77fb5c4113cfe7ae02b2b.m3u8
CGNTV1,http://live.cgtn.com/1000/prog_index.m3u8
CGNTV2,http://livear.cgtn.com/1000a/prog_index.m3u8
CGNTV3,http://livees.cgtn.com/1000e/prog_index.m3u8
CGNTV4,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGNTV5,https://livedoc.cgtn.com/500d/prog_index.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
TVB 亚洲武侠台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
BBC新闻,http://tv.balkanweb.com:8081/news24/livestream/playlist.m3u8
CNN新闻,http://livees.cgtn.com/500e/prog_index.m3u8
CNN新闻,https://livees.cgtn.com/1000e/prog_index.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
秋月剪水,http://huanqiuzhibo.cn/manifest/douyu.php?id=9588891
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
1989香港小姐竞选,http://jsmov2.a.yximgs.com/bs3/video-hls/5259922993058236574_hlsb.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
TVB功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB功夫台,https://edge6a.v2h-cdn.com/asia_action/asia_action.stream/chunklist.m3u8
TVB功夫台,https://ali.hlspull.yximgs.com/live/12344.flv
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门卫视,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
凤凰卫视中文台,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰卫视中文台,http://hikvision.city:880/fhws.m3u8
凤凰卫视中文台,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰卫视中文台,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰卫视中文台,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰卫视资讯台,http://hikvision.city:880/fhzx.m3u8
凤凰卫视资讯台,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视资讯台,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰卫视资讯台,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
TVB星河,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫影院频道,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
无线财经体育,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
凤凰卫视香港台,http://103.95.24.37:880/fhxgt.m3u8 
凤凰卫视香港台,http://hikvision.city:880/fhxgt.m3u8
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=2&hq
TVB亚洲武侠,https://ali.hlspull.yximgs.com/live/12344.flv
TVB亚洲武侠,https://s2.pub/cctv-20
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB亚洲武侠(粤),http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
无线星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
无线娱乐,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
香港電台(34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港電台(34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
凤凰卫视资讯台,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
无线星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线娱乐,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB无线新闻台,http://nz189l149.bb27109.ctm.net:8892/bysid/83
TVB无线新闻台,http://zsntlqj.xicp.net:8896/bysid/83
TVB财经体育资讯台,http://nz189l149.bb27109.ctm.net:8892/bysid/85
TVB明珠台,http://nz189l149.bb27109.ctm.net:8892/bysid/2
澳门澳视,http://nz189l149.bb27109.ctm.net:8891/bysid/91
澳门澳视,http://nz189l149.bb27109.ctm.net:8891/bysid/96
澳门资讯,http://nz189l149.bb27109.ctm.net:8891/bysid/94
澳门娱乐,http://nz189l149.bb27109.ctm.net:8891/bysid/92
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/master.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8
星空缓冲10秒,http://wouu.net:9977/udp/239.93.0.156:2193
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK34,https://livedoc.cgtn.com/1000d/prog_index.m3u8
RTHK34,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
RTHK34,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳亚卫视台,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
凤凰卫视香港台,http://113.64.145.195:8081/hls/38/index.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳亚卫视台,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
澳门卫视,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
无线星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
香港有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
香港有线新闻台,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8#http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
无线财经体育资讯B台,
无线财经体育资讯B台,
无线财经体育资讯B台
凤凰卫视资讯台,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰卫视中文台,http://112.19.171.156:9999/udp/239.93.0.162:2192
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8

香港环球,http://zb.xzxwhcb.com:9999/hls/world.m3u8
4k👉修复全网,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4k👉动物全网,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K南国都市台,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
-8K北京纪实台,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
-8K北京纪实台,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
-8KCCTV超清台,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k
-8KCCTV超清台,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k
-4kCCTV16频道,https://tv.cry33.com/ys4k.php?id=16-4k
4K放大镜全网,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
4K「时尚」台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
4K「自然」台,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
凤凰资讯频道,http://113.64.145.93:8081/hls/36/index.m3u8
凤凰卫视频道,http://113.64.145.93:8081/hls/37/index.m3u8
凤凰香港频道,http://113.64.145.93:8081/hls/38/index.m3u8
无线新闻频道,http://ali.hlspull.yximgs.com:80/live/7c0bd25f90d24ed3ac600b8c38444db3.flv
TVB明珠频道,http://ali.hlspull.yximgs.com:80/live/019c452904675029cf9f84db327e7793.flv
TVB功夫,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB星河台频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
欧洲华文频道,http://vvlive.eztv.vip/hwetnew/hwetnew.m3u8?auth_key=1710810771-0-0-c5ce71079eaa4d245127b05375ae371f
香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8
无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线星河频道,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
无线娱乐频道,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
香港電台(34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
香港電台(34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经频道,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
4k👉修复全网,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4k👉动物全网,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K南国都市台,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
-8K北京纪实台,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
-8K北京纪实台,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
-8KCCTV超清台,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k
-8KCCTV超清台,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k
-4kCCTV16频道,https://tv.cry33.com/ys4k.php?id=16-4k
4K放大镜全网,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
4K咪咕台ipv6,http://[2409:8087:1a01:df::4001]/PLTV/88888888/224/3221225655/index.m3u8
4K「时尚」台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
4K「自然」台,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

凤凰中文频道http://175.11.195.97:7000/rtp/239.76.253.135:9000?Cf=cfss.cc
凤凰中文频道,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰中文频道,http://hikvision.city:880/fhws.m3u8
凤凰中文频道,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰中文频道,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰中文频道,http://112.19.171.156:9999/udp/239.93.0.162:2192

凤凰资讯频道,http://hikvision.city:880/fhzx.m3u8
凤凰资讯频道,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰资讯频道,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯频道,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://112.19.171.156:9999/udp/239.93.0.118:2191

TVB星河频道,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
