咪咕直播,#genre#
cct4美洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4m
家庭影院咪咕,http://z.b.bkpcp.top/m.php?id=jtyy
东方影视咪咕,http://z.b.bkpcp.top/m.php?id=shys
陕西卫视咪咕,http://z.b.bkpcp.top/m.php?id=sxws
湖北卫视咪咕,http://z.b.bkpcp.top/m.php?id=hubws
江西卫视咪咕,http://z.b.bkpcp.top/m.php?id=jxws
江苏卫视咪咕,http://z.b.bkpcp.top/m.php?id=jsws
广东卫视咪咕,http://z.b.bkpcp.top/m.php?id=gdws
游戏风云咪咕,http://z.b.bkpcp.top/m.php?id=yxfy
七彩戏剧咪咕,http://z.b.bkpcp.top/m.php?id=qcxj
欢笑剧场咪咕,http://z.b.bkpcp.top/m.php?id=hxjc
劲爆体育咪咕,http://z.b.bkpcp.top/m.php?id=jbty
魅力足球咪咕,http://z.b.bkpcp.top/m.php?id=mlzq
央视频道,#genre#
CCTV-01频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-1-CQ
CCTV-02频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-2-CQ
CCTV-03频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-3-CQ
CCTV-04频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-4-CQ
CCTV-05频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-5-CQ
CCTV-5+频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-5PLUS-CQ
CCTV-06频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-6-CQ
CCTV-07频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-7-CQ
CCTV-08频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-8-CQ
CCTV-09频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-9-CQ
CCTV-10频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-10-CQ
CCTV-11频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-11-CQ
CCTV-12频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-12-CQ
CCTV-13频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-13-CQ
CCTV-14频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-14-CQ
CCTV-15频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-15-CQ
CCTV-16频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-16-CQ
CCTV-17频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-17-CQ
卫视频道,#genre#
北京卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_BEIJING-CQ
东方卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_DONGFANG-CQ
浙江卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_ZHEJIANG-CQ
江苏卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_JIANGSU-CQ
湖南卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_HUNAN-CQ
广东卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_GUANGDONG-CQ
深圳卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_SHENZHEN-CQ
天津卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_TIANJIN-CQ
安徽卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_ANHUI-CQ
山东卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_SHANDONG-CQ
辽宁卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_LIAONING-CQ
河北卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_HEBEI-CQ
河南卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_HENAN-CQ
江西卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_JIANGXI-CQ
东南卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_DONGNAN-CQ
广西卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_GUANGXI-HQ
海南卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_HAINAN-HQ
三沙卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_SANSHA-HQ
湖北卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_HUBEI-CQ
四川卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_SICHUAN-CQ
重庆卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CHONGQING-CQ
贵州卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_GUIZHOU-CQ
云南卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_YUNNAN-CQ
吉林卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_JILIN-CQ
陕西卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_SHANXI-HQ
甘肃卫视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_GANSU-HQ
黑龙江视频道,http://cqshushu.us.kg:2086/gitv.php?id=G_HEILONGJIANG-CQ
中国教壹频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CETV-1-HQ
早期教育频道,http://cqshushu.us.kg:2086/gitv.php?id=G_CETV-ZQJY-CQ
女性时尚频道,http://cqshushu.us.kg:2086/gitv.php?id=G_NVXINGSS-CQ
