央视高清,#genre#
湖北卫视HD,http://183.92.4.163:4000/udp/228.0.0.60:6108
湖北卫视,http://183.92.4.163:4000/udp/228.0.0.232:6108
湖南卫视HD,http://183.92.4.163:4000/udp/228.0.0.61:6108
浙江卫视HD,http://183.92.4.163:4000/udp/228.0.0.65:6108
江苏卫视HD,http://183.92.4.163:4000/udp/228.0.0.64:6108
东方卫视HD,http://183.92.4.163:4000/udp/228.0.0.62:6108
北京卫视HD,http://183.92.4.163:4000/udp/228.0.0.63:6108
广东卫视HD,http://183.92.4.163:4000/udp/228.0.0.66:6108
深圳卫视HD,http://183.92.4.163:4000/udp/228.0.0.67:6108
黑龙江卫视HD,http://183.92.4.163:4000/udp/228.0.0.68:6108
天津卫视HD,http://183.92.4.163:4000/udp/228.0.0.120:6108
山东卫视HD,http://183.92.4.163:4000/udp/228.0.0.121:6108
安徽卫视HD,http://183.92.4.163:4000/udp/228.0.0.122:6108
辽宁卫视HD,http://183.92.4.163:4000/udp/228.0.0.123:6108
东南卫视HD,http://183.92.4.163:4000/udp/228.0.0.144:7144
江西卫视HD,http://183.92.4.163:4000/udp/228.0.0.147:7147
重庆卫视HD,http://183.92.4.163:4000/udp/228.0.0.159:7159
贵州卫视HD,http://183.92.4.163:4000/udp/228.0.0.160:7160
宁夏卫视,http://183.92.4.163:4000/udp/228.0.0.30:6108
广西卫视,http://183.92.4.163:4000/udp/228.0.0.37:6108
海南卫视HD,http://183.92.4.163:4000/udp/228.0.0.165:7165
河南卫视HD,http://183.92.4.163:4000/udp/228.0.0.230:6108
四川卫视HD,http://183.92.4.163:4000/udp/228.0.0.231:6108
吉林卫视,http://183.92.4.163:4000/udp/228.0.0.45:6108
山西卫视,http://183.92.4.163:4000/udp/228.0.0.47:6108
云南卫视,http://183.92.4.163:4000/udp/228.0.0.48:6108
西藏卫视,http://183.92.4.163:4000/udp/228.0.0.51:6108
内蒙古卫视,http://183.92.4.163:4000/udp/228.0.0.52:6108
新疆卫视,http://183.92.4.163:4000/udp/228.0.0.53:6108
青海卫视,http://183.92.4.163:4000/udp/228.0.0.54:6108
河北卫视HD,http://183.92.4.163:4000/udp/228.0.0.168:7168
陕西卫视,http://183.92.4.163:4000/udp/228.0.0.56:6108
吉林卫视,http://183.92.4.163:4000/udp/228.0.0.45:6108
山西卫视,http://183.92.4.163:4000/udp/228.0.0.47:6108
云南卫视,http://183.92.4.163:4000/udp/228.0.0.48:6108
西藏卫视,http://183.92.4.163:4000/udp/228.0.0.51:6108
内蒙古卫视,http://183.92.4.163:4000/udp/228.0.0.52:6108
新疆卫视,http://183.92.4.163:4000/udp/228.0.0.53:6108
青海卫视,http://183.92.4.163:4000/udp/228.0.0.54:6108
河北卫视HD,http://183.92.4.163:4000/udp/228.0.0.168:7168
陕西卫视,http://183.92.4.163:4000/udp/228.0.0.56:6108
甘肃卫视,http://183.92.4.163:4000/udp/228.0.0.57:6108
卡酷动画,http://183.92.4.163:4000/udp/228.0.0.58:6108
金鹰卡通,http://183.92.4.163:4000/udp/228.0.0.59:6108
金鹰纪实HD,http://183.92.4.163:4000/udp/228.0.0.145:7145
中国教育-1HD,http://183.92.4.163:4000/udp/228.0.0.146:7146
三沙卫视,http://183.92.4.163:4000/udp/228.0.0.174:7174
中国教育4,http://183.92.4.163:4000/udp/228.0.0.177:7177
茶频道,http://183.92.4.163:4000/udp/228.0.0.234:6108
湖北经视HD,http://183.92.4.163:4000/udp/228.0.0.125:6108
湖北综合HD,http://183.92.4.163:4000/udp/228.0.0.126:6108
湖北垄上HD,http://183.92.4.163:4000/udp/228.0.0.127:6108
湖北公共HD,http://183.92.4.163:4000/udp/228.0.0.124:6108
湖北影视HD,http://183.92.4.163:4000/udp/228.0.0.205:6108
湖北教育HD,http://183.92.4.163:4000/udp/228.0.0.206:6108
湖北生活HD,http://183.92.4.163:4000/udp/228.0.0.204:6108
CETV2,http://183.92.4.163:4000/udp/228.0.0.198:7198
环球奇观,http://183.92.4.163:4000/udp/228.0.0.73:6108
国学频道,http://183.92.4.163:4000/udp/228.0.0.75:6108
财富天下,http://183.92.4.163:4000/udp/228.0.0.88:6108
老故事,http://183.92.4.163:4000/udp/228.0.0.238:6108
新动漫,http://183.92.4.163:4000/udp/228.0.0.240:6108
先锋乒羽,http://183.92.4.163:4000/udp/228.0.0.241:6108


数字频道,#genre#
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
纪实科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
卡酷少儿,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
金鹰卡通,http://[2409:8087:1a0b:df::4008]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
哒啵赛事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
优漫卡通,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓电影,http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
海外剧场,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
中国功夫,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
军旅剧场,http://[2409:8087:1a0b:df::4018]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
惊悚悬疑,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
潮妈辣婆,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
精品体育,http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
家庭剧场,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
精品大剧,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
军事评论,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
明星大片,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
精品萌宠,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
超级综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
金牌综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
风云音乐,http://222.223.118.222:2180/live/fyyy/index.m3u8
风云音乐,http://118.254.203.236:8888/udp/239.76.247.51:1234
风云音乐,http://117.66.231.196:2000/rtp/238.1.79.64:4648
风云音乐,http://118.254.203.236:8888/udp/239.76.254.51:9000
风云音乐,http://221.198.168.25:8888/udp/225.1.2.176:5002
风云音乐,http://124.112.208.74:5555/rtp/238.1.79.64:4648
风云音乐,http://106.116.3.171:8890/udp/239.254.201.221:7259

风云足球,http://119.98.183.199:8000/rtp/239.69.1.81:10126
风云足球,http://221.198.168.25:8888/udp/225.1.2.168:5002
风云足球,http://124.112.208.74:5555/rtp/238.1.79.57:4592
风云足球,http://106.116.3.171:8890/udp/239.254.201.222:7251
风云足球,http://183.30.202.51:8000/rtp/239.253.43.20:5146
风云足球,http://183.30.202.51:8000/rtp/239.253.43.14:5146
风云足球,http://117.66.231.196:2000/rtp/238.1.79.57:4592

第一剧场,http://222.223.118.222:2180/live/dyjc/index.m3u8
第一剧场,http://14.221.179.36:8888/rtp/239.253.43.15:5146
第一剧场,http://106.116.3.171:8890/udp/239.254.201.218:7258
第一剧场,http://171.212.171.42:8088/rtp/239.93.1.197:5140
第一剧场,http://124.112.208.74:5555/rtp/238.1.79.63:4640
第一剧场,http://221.198.168.25:8888/udp/225.1.2.175:5002
第一剧场,http://119.98.183.199:8000/rtp/239.69.1.74:10084
第一剧场,http://117.66.231.196:2000/rtp/238.1.79.63:4640

风云剧场,http://117.66.231.196:2000/rtp/238.1.79.62:4632
风云剧场,http://222.223.118.222:2180/live/fyjc/index.m3u8
风云剧场,http://118.254.203.236:8888/udp/239.76.254.50:9000
风云剧场,http://221.198.168.25:8888/udp/225.1.2.174:5002
风云剧场,http://124.112.208.74:5555/rtp/238.1.79.62:4632
风云剧场,http://106.116.3.171:8890/udp/239.254.201.219:7257
风云剧场,http://183.30.202.51:8000/rtp/239.253.43.26:5146
风云剧场,http://183.30.202.51:8000/rtp/239.253.43.16:5146

CCTV怀旧剧场,http://117.66.231.196:2000/rtp/238.1.79.61:4624
CCTV怀旧剧场,http://221.198.168.25:8888/udp/225.1.2.173:5002
CCTV怀旧剧场,http://118.254.203.236:8888/udp/239.76.247.53:1234
CCTV怀旧剧场,http://222.223.118.222:2180/live/hjjc/index.m3u8
CCTV怀旧剧场,http://118.254.203.236:8888/udp/239.76.254.53:9000
CCTV怀旧剧场,http://221.198.168.25:8888/udp/225.1.2.173:5002
CCTV怀旧剧场,http://124.112.208.74:5555/rtp/238.1.79.61:4624
CCTV怀旧剧场,http://171.212.171.42:8088/rtp/239.93.1.198:5140
CCTV怀旧剧场,http://106.116.3.171:8890/udp/239.254.201.220:7256
CCTV怀旧剧场,http://183.30.202.51:8000/rtp/239.253.43.25:5146
CCTV怀旧剧场,http://183.30.202.51:8000/rtp/239.253.43.5:5146

CCTV高尔夫网球,http://183.204.13.131/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012512503.m3u8
CCTV高尔夫网球,http://221.198.168.25:8888/udp/225.1.2.169:5002
CCTV高尔夫网球,http://118.254.203.236:8888/udp/239.76.254.62:9000
CCTV高尔夫网球,http://118.254.203.236:8888/udp/239.76.247.62:1234
CCTV高尔夫网球,http://183.30.202.51:8000/rtp/239.253.43.22:5146
CCTV高尔夫网球,http://183.30.202.51:8000/rtp/239.253.43.12:5146
CCTV高尔夫网球,http://119.98.183.199:8000/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://124.112.208.74:5555/rtp/238.1.79.58:4600
CCTV高尔夫网球,http://106.116.3.171:8890/udp/239.254.201.223:7252
CCTV高尔夫网球,http://14.221.179.36:8888/rtp/239.253.43.22:5146

女性时尚,http://222.223.118.222:2180/live/nxss/index.m3u8
女性时尚,http://117.66.231.196:2000/rtp/238.1.79.55:4576
女性时尚,http://118.254.203.236:8888/udp/239.76.254.55:9000
女性时尚,http://118.254.203.236:8888/udp/239.76.254.55:9000
女性时尚,http://117.13.60.64:4022/udp/225.1.2.172:5002
女性时尚,http://183.161.56.79:8888/rtp/238.1.79.55:4576
女性时尚,http://106.116.0.129:8890/udp/239.254.201.228:7255
女性时尚,http://61.141.138.81:8888/rtp/239.253.43.23:5146
女性时尚,http://61.141.138.81:8888/rtp/239.253.43.8:5146

文化精品,http://222.223.118.222:2180/live/whjp/index.m3u8
文化精品,http://117.66.231.196:2000/rtp/238.1.79.54:4568
文化精品,http://118.254.203.236:8888/udp/239.76.254.56:9000
文化精品,http://118.254.203.236:8888/udp/239.76.247.56:1234
文化精品,http://117.13.60.64:4022/udp/225.1.2.177:5002
文化精品,http://183.161.56.79:8888/rtp/238.1.79.54:4568
文化精品,http://182.136.167.72:8888/rtp/239.93.42.47:5140
文化精品,http://106.116.0.129:8890/udp/239.254.201.229:7260
文化精品,http://61.141.138.81:8888/rtp/239.253.43.27:5146
文化精品,http://219.137.113.93:4022/rtp/239.253.43.27:5146

世界地理,http://222.223.118.222:2180/live/sjdl/index.m3u8
世界地理,http://117.66.231.196:2000/rtp/238.1.79.60:4616
世界地理,http://118.254.203.236:8888/udp/239.76.247.57:1234
世界地理,http://118.254.203.236:8888/udp/239.76.254.57:9000
世界地理,http://117.13.60.64:4022/udp/225.1.2.171:5002
世界地理,http://183.161.56.79:8888/rtp/238.1.79.60:4616
世界地理,http://106.116.0.129:8890/udp/239.254.201.226:7254
世界地理,http://61.141.138.81:8888/rtp/239.253.43.7:5146
世界地理,http://219.137.113.93:4022/rtp/239.253.43.7:5146

兵器科技,http://222.223.118.222:2180/live/gfjs/index.m3u8
兵器科技,http://117.66.231.196:2000/rtp/238.1.79.56:4584
兵器科技,http://118.254.203.236:8888/udp/239.76.247.59:1234
兵器科技,http://118.254.203.236:8888/udp/239.76.254.59:9000
兵器科技,http://117.13.60.64:4022/udp/225.1.2.166:5002
兵器科技,http://183.161.56.79:8888/rtp/238.1.79.56:4584
兵器科技,http://106.116.0.129:8890/udp/239.254.201.225:7249
兵器科技,http://61.141.138.81:8888/rtp/239.253.43.18:5146
兵器科技,http://61.141.138.81:8888/rtp/239.253.43.9:5146
兵器科技,http://219.137.113.93:4022/rtp/239.253.43.18:5146
兵器科技,http://219.137.113.93:4022/rtp/239.253.43.9:5146

电视指南,http://221.198.168.25:8888/udp/225.1.2.167:5002
电视指南,http://106.116.3.171:8890/udp/239.254.201.217:7250
电视指南,http://106.116.3.171:8890/udp/239.254.201.217:7250
电视指南,http://124.112.208.74:5555/rtp/238.1.79.53:4560
电视指南,http://175.0.94.196:9000/udp/239.76.247.61:1234
电视指南,http://175.0.94.196:9000/udp/239.76.254.61:9000
电视指南,http://118.254.203.236:8888/udp/239.76.254.61:9000
电视指南,http://118.254.203.236:8888/udp/239.76.247.61:1234

央视台球,http://183.204.13.146/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513703.m3u8
央视台球,http://183.30.202.51:8000/rtp/239.253.43.11:5146
央视台球,http://221.198.168.25:8888/udp/225.1.2.170:5002
央视台球,http://14.221.179.36:8888/rtp/239.253.43.21:5146
央视台球,http://106.116.3.171:8890/udp/239.254.201.171:7176
央视台球,http://124.112.208.74:5555/rtp/238.1.79.59:4608
央视台球,http://119.98.183.199:8000/rtp/239.69.1.98:10224
央视台球,http://117.66.231.196:2000/rtp/238.1.79.59:4608
央视台球,http://118.254.203.236:8888/udp/239.76.247.58:1234
央视台球,http://118.254.203.236:8888/udp/239.76.254.58:9000

央视频道,#genre#

CCTV-01 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-02 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-03 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-04 中文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-05 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV+5+ 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-06 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-07 国防,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-08 电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-09 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8


CCTV-01*综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
CCTV-02*财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-03*综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8 
CCTV-04*国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-05*体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-05+体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-06*电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-07*军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8 
CCTV-08*电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-09*纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10*科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11*戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV-12*社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13*新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14*少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8 
CCTV-16*奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17*农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8 

广东频道,#genre#
广东珠江,http://113.15.184.154:8181/tsfile/live/1000_1.m3u8
广东体育,http://113.15.184.154:8181/tsfile/live/1001_1.m3u8
广东公共,http://113.15.184.154:8181/tsfile/live/1002_1.m3u8
广东科教,http://113.15.184.154:8181/tsfile/live/1003_1.m3u8
广东影视,http://113.15.184.154:8181/tsfile/live/1004_1.m3u8
广东少儿,http://113.15.184.154:8181/tsfile/live/1005_1.m3u8
岭南戏剧,http://113.15.184.154:8181/tsfile/live/1006_1.m3u8
广东新闻,http://113.15.184.154:8181/tsfile/live/1007_1.m3u8
广西影视,http://113.15.184.154:8181/tsfile/live/1009_1.m3u8
广西综艺,http://113.15.184.154:8181/tsfile/live/1010_1.m3u8
广西都市,http://113.15.184.154:8181/tsfile/live/1011_1.m3u8
广西新闻,http://113.15.184.154:8181/tsfile/live/1012_1.m3u8
南宁影视,http://113.15.184.154:8181/tsfile/live/1013_1.m3u8
南宁公共,http://113.15.184.154:8181/tsfile/live/1014_1.m3u8

央视频道移动,#genre#
CCTV1,http://[2409:8087:4c0a:22:1::43]:6610/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y&IASHttpSessionId=SLB397020240312045930228308
CCTV2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI
CCTV3,http://[2409:8087:4c0a:22:1::31]:6610/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk&IASHttpSessionId=SLB394720240312050254232422
CCTV4,http://[2409:8087:4c0a:22:1::9]:6610/170000001115/UmaiCHAN5000037BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfH0ZQXwaiVktPr6ILPKXqwOUC2ZXft7ZULN6h9qLQPFOTSlVTfophiKaMb8h1kPV74&IASHttpSessionId=SLB397720240312050421233717
CCTV5,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727e617ca0/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMSXw4ajlL%2FoUYC2RZQQDco6uQSifXBocz5ID6RePfIKQ4rFWiHjq%2FeZoDmrzW%2FKlw

CCTV6,http://[2409:8087:4c0a:22:1::31]:6610/170000001115/UmaiCHAN638728804b1f9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdazJhFQmuq4XUiks9ZrIlJN%2BknLs8H%2BSxcDXy%2BTesEc8Q0KCN89MjYoj85Sol1kbKI4&IASHttpSessionId=SLB399320240312050540232340
CCTV7,http://[2409:8087:4c0a:22:1::21]:6610/170000001115/UmaiCHAN5000038BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfHYKFve4MwNzRa0jPXeHjqnBjPmzSdKDNWNHhnZSaMGCXKmdx8d%2BnYdhVK5ge22ot4&IASHttpSessionId=SLB399020240312092406233862
CCTV8,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728970aa82/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdaymid9ta2tVUW0%2FdVrFqszC1EVEkAbpip1IYxn%2Ba2aA%2BVAihIiw9D8ejUsDbfU0K68
CCTV9,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000039BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfHArfvJF2pWpm4RxcBNhZ7j9vEUeCQte%2BbQaOGNIUEEK%2B3RBE1BC9EUsM18gnb%2FyAA
CCTV10,http://[2409:8087:4c0a:22:1::9]:6610/170000001115/UmaiCHAN3949784BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUXt3TPFwzzdHCkOT9AjSv5OuXozn3alq9%2BUx7ZLG1w9aOfkLjZvYj56D3xkOAtSOIoLsdw8c1%2BCwLDg1aS4esN4&IASHttpSessionId=SLB397920240312092641235329
CCTV11,http://[2409:8087:4c0a:22:1::9]:6610/170000001115/UmaiCHAN6000053BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0Qj2xHA4vdPGsjBbxSL3p%2FmAObVTfznR%2Fpc%2B76QYmLRMuL3Lj9iabhv8arW7kJe6%2F4&IASHttpSessionId=SLB396320240312092802230598
CCTV12,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000040BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUd3JM2PCgDefrKOVZLNt0QMAmpLefguRLiOPXiDRWhxHg8yim2giTBA8RILsb%2B8Y5pkFUyZBE%2FkNJAbwncEegkU
CCTV13,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000054BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0SuXozn3alq9%2BUx7ZLG1w9awc14iEUxQ5VsTsr5pEBsmF56tXUfsukRUpygmTCKvAI
