中央频道,#genre#
深圳卫视,http://221.222.162.206:8888/udp/239.3.1.134:8020,0.83
深圳卫视,http://1.203.111.193:17777/udp/225.1.8.145:9244,0.57
湖北卫视,http://114.240.44.242:8888/udp/239.3.1.138:8044,0.99
湖北卫视,http://221.222.162.206:8888/udp/239.3.1.138:8044,0.83
湖北卫视,http://1.203.111.193:17777/udp/225.1.8.146:8136,0.57
湖南卫视,http://114.240.44.242:8888/udp/239.3.1.132:8012,0.99
湖南卫视,http://221.222.162.206:8888/udp/239.3.1.132:8012,0.83
湖南卫视,http://1.203.111.193:17777/udp/225.1.8.132:8064,0.57
甘肃卫视,http://114.240.44.242:8888/udp/239.3.1.49:8188,0.99
甘肃卫视,http://221.222.162.206:8888/udp/239.3.1.49:8188,0.83
甘肃卫视,http://1.203.111.193:17777/udp/225.1.8.162:8188,0.57
西藏卫视,http://114.240.44.242:8888/udp/239.3.1.47:8164,0.99
西藏卫视,http://221.222.162.206:8888/udp/239.3.1.47:8164,0.83
西藏卫视,http://1.203.111.193:17777/udp/225.1.8.160:8164,0.57
贵州卫视,http://114.240.44.242:8888/udp/239.3.1.149:8076,0.99
贵州卫视,http://221.222.162.206:8888/udp/239.3.1.149:8076,0.83
贵州卫视,http://1.203.111.193:17777/udp/225.1.8.144:8120,0.57
辽宁卫视,http://114.240.44.242:8888/udp/239.3.1.210:8056,0.99
辽宁卫视,http://221.222.162.206:8888/udp/239.3.1.210:8056,0.83
辽宁卫视,http://1.203.111.193:17777/udp/225.1.8.137:8116,0.57
重庆卫视,http://114.240.44.242:8888/udp/239.3.1.122:8160,0.99
重庆卫视,http://221.222.162.206:8888/udp/239.3.1.122:8160,0.83
重庆卫视,http://1.203.111.193:17777/udp/225.1.8.148:8296,0.57
陕西卫视,http://114.240.44.242:8888/udp/239.3.1.41:8140,0.99
陕西卫视,http://221.222.162.206:8888/udp/239.3.1.41:8140,0.83
陕西卫视,http://1.203.111.193:17777/udp/225.1.8.154:8140,0.57
青海卫视,http://114.240.44.242:8888/udp/239.3.1.44:8184,0.99
青海卫视,http://221.222.162.206:8888/udp/239.3.1.44:8184,0.83
青海卫视,http://1.203.111.193:17777/udp/225.1.8.157:8184,0.57
内蒙古卫视,http://114.240.44.242:8888/udp/239.3.1.43:8176,0.99
内蒙古卫视,http://221.222.162.206:8888/udp/239.3.1.43:8176,0.83
内蒙古卫视,http://1.203.111.193:17777/udp/225.1.8.156:8176,0.57
黑龙江卫视,http://114.240.44.242:8888/udp/239.3.1.133:8016,0.99
黑龙江卫视,http://221.222.162.206:8888/udp/239.3.1.133:8016,0.83
黑龙江卫视,http://1.203.111.193:17777/udp/225.1.8.141:8196,0.57

其他频道,#genre#
光影,http://114.240.44.242:8888/udp/239.3.1.84:4120,0.99
光影,http://221.222.162.206:8888/udp/239.3.1.84:4120,0.83
光影,http://1.203.111.193:17777/udp/225.1.8.244:4120,0.57
军事,http://114.240.44.242:8888/udp/239.3.1.76:4120,0.99
军事,http://221.222.162.206:8888/udp/239.3.1.76:4120,0.83
军事,http://1.203.111.193:17777/udp/225.1.8.236:4120,0.57
地理,http://114.240.44.242:8888/udp/239.3.1.71:4120,0.99
地理,http://221.222.162.206:8888/udp/239.3.1.71:4120,0.83
地理,http://1.203.111.193:17777/udp/225.1.8.231:4120,0.57
星影,http://114.240.44.242:8888/udp/239.3.1.94:4120,0.99
星影,http://221.222.162.206:8888/udp/239.3.1.94:4120,0.83
星影,http://1.203.111.193:17777/udp/225.1.8.254:4120,0.57
武术,http://114.240.44.242:8888/udp/239.3.1.87:4120,0.99
武术,http://221.222.162.206:8888/udp/239.3.1.87:4120,0.83
解密,http://114.240.44.242:8888/udp/239.3.1.75:4120,0.99
解密,http://221.222.162.206:8888/udp/239.3.1.75:4120,0.83
解密,http://1.203.111.193:17777/udp/225.1.8.235:4120,0.57
淘剧场,http://114.240.44.242:8888/udp/239.3.1.95:8001,0.99
淘剧场,http://221.222.162.206:8888/udp/239.3.1.95:8001,0.83
淘剧场,http://1.203.111.193:17777/udp/225.1.8.37:8002,0.57
淘娱乐,http://114.240.44.242:8888/udp/239.3.1.100:8001,0.99
淘娱乐,http://221.222.162.206:8888/udp/239.3.1.100:8001,0.83
淘娱乐,http://1.203.111.193:17777/udp/225.1.8.61:8002,0.57
淘电影,http://114.240.44.242:8888/udp/239.3.1.250:8001,0.99
淘电影,http://221.222.162.206:8888/udp/239.3.1.250:8001,0.83
淘电影,http://1.203.111.193:17777/udp/225.1.8.38:8002,0.57
军旅剧场,http://114.240.44.242:8888/udp/239.3.1.68:4120,0.99
军旅剧场,http://221.222.162.206:8888/udp/239.3.1.68:4120,0.83
军旅剧场,http://1.203.111.193:17777/udp/225.1.8.228:4120,0.57
动作影院,http://114.240.44.242:8888/udp/239.3.1.92:4120,0.99
动作影院,http://221.222.162.206:8888/udp/239.3.1.92:4120,0.83
动作影院,http://1.203.111.193:17777/udp/225.1.8.252:4120,0.57
古装剧场,http://114.240.44.242:8888/udp/239.3.1.69:4120,0.99
古装剧场,http://221.222.162.206:8888/udp/239.3.1.69:4120,0.83
古装剧场,http://1.203.111.193:17777/udp/225.1.8.229:4120,0.57
喜剧影院,http://114.240.44.242:8888/udp/239.3.1.91:4120,0.99
喜剧影院,http://221.222.162.206:8888/udp/239.3.1.91:4120,0.83
喜剧影院,http://1.203.111.193:17777/udp/225.1.8.251:4120,0.57
城市剧场,http://114.240.44.242:8888/udp/239.3.1.67:4120,0.99
城市剧场,http://221.222.162.206:8888/udp/239.3.1.67:4120,0.83
城市剧场,http://1.203.111.193:17777/udp/225.1.8.227:4120,0.57
家庭影院,http://114.240.44.242:8888/udp/239.3.1.93:4120,0.99
家庭影院,http://221.222.162.206:8888/udp/239.3.1.93:4120,0.83
家庭影院,http://1.203.111.193:17777/udp/225.1.8.253:4120,0.57
武侠剧场,http://114.240.44.242:8888/udp/239.3.1.90:4120,0.99
武侠剧场,http://221.222.162.206:8888/udp/239.3.1.90:4120,0.83
武侠剧场,http://1.203.111.193:17777/udp/225.1.8.250:4120,0.57
热播剧场,http://114.240.44.242:8888/udp/239.3.1.194:9020,0.99
热播剧场,http://221.222.162.206:8888/udp/239.3.1.194:9020,0.83
热播剧场,http://1.203.111.193:17777/udp/225.1.8.202:9020,0.57
纪实人文,http://1.203.111.193:17777/udp/225.1.8.53:8060,0.57
经典电影,http://114.240.44.242:8888/udp/239.3.1.195:9024,0.99
经典电影,http://221.222.162.206:8888/udp/239.3.1.195:9024,0.83
经典电影,http://1.203.111.193:17777/udp/225.1.8.203:9024,0.57
淘BABY,http://1.203.111.193:17777/udp/225.1.8.36:8002,0.57

未分组,#genre#

12-17 21:42,#genre#:
12-17 21:42,https://raw.gitmirror.com/MemoryCollection/IPTV/main/TB/mv.mp4
